max_depth,score,ModelSize
1,23.1,0.002
2,31.1,0.002
3,47.8,0.003
4,65.4,0.004
5,80.2,0.006
6,85.4,0.008
7,86.9,0.012
8,88.8,0.016
9,89.1,0.022
10,89.9,0.028
11,90.9,0.035
12,90.7,0.041
13,91.5,0.045
14,91.2,0.049
15,91.3,0.053
16,91.7,0.057
17,91.7,0.059
18,91.3,0.06
19,91.3,0.06
20,91.3,0.06
21,91.3,0.06
22,91.3,0.06
23,91.3,0.06
24,91.3,0.06
25,91.3,0.06
26,91.3,0.06
27,91.3,0.06
28,91.3,0.06
29,91.3,0.06
30,91.3,0.06
31,91.3,0.06
32,91.3,0.06
33,91.3,0.06
34,91.3,0.06
35,91.3,0.06
36,91.3,0.06
37,91.3,0.06
38,91.3,0.06
39,91.3,0.06
40,91.3,0.06
41,91.3,0.06
42,91.3,0.06
43,91.3,0.06
44,91.3,0.06
45,91.3,0.06
46,91.3,0.06
47,91.3,0.06
48,91.3,0.06
49,91.3,0.06
