n_neighbors,score,ModelSize
1,87.0,1.018
2,87.0,1.018
3,87.8,1.018
4,87.5,1.018
5,88.0,1.018
6,88.0,1.018
7,88.0,1.018
8,88.0,1.018
9,87.8,1.018
10,87.5,1.018
11,87.5,1.018
12,87.2,1.018
13,87.0,1.018
14,86.8,1.018
15,87.0,1.018
16,87.1,1.018
17,86.8,1.018
18,87.0,1.018
19,86.6,1.018
20,86.8,1.018
21,86.7,1.018
22,86.5,1.018
23,86.7,1.018
24,86.1,1.018
25,86.3,1.018
26,86.1,1.018
27,86.0,1.018
28,85.7,1.018
29,85.9,1.018
30,85.7,1.018
31,85.5,1.018
32,85.7,1.018
33,85.4,1.018
34,85.1,1.018
35,85.1,1.018
36,85.2,1.018
37,85.1,1.018
38,85.1,1.018
39,85.0,1.018
40,85.0,1.018
41,84.7,1.018
42,84.7,1.018
43,84.5,1.018
44,84.7,1.018
45,84.4,1.018
46,84.3,1.018
47,84.1,1.018
48,84.1,1.018
49,84.1,1.018
